year,EdadDesde,EdadHasta,CantidadPuestosVacantes,Confidencial,AreaEstudio1,IdIdioma1,isco_2dig_pred,Sexo,JornadaLaboral,NombreNivelJerarquico,num_words,highest_GradoEstudio,section_ciiu,cogn_core,cogn_soph,cogn_comp,cogn_software,cogn_mlai,cogn_finance,cogn_writing,cogn_manage,social_character,social_social,social_peoplemanage,social_customer,manual_fingerdexterity,manual_coordination,manual_physical,Sueldo
2015.0,30.0,50.0,1,1.0,,,53.0,Female,,,12.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33241.143132
2018.0,20.0,30.0,1,0.0,,,83.0,,Completa,Empleado,40.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26526.020561999998
2012.0,18.0,70.0,1,0.0,,,53.0,Male,,Empleado,72.0,,N - Administrative and support service activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26095.091462
2013.0,18.0,70.0,1,1.0,,,53.0,,,Empleado,109.0,,N - Administrative and support service activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,23487.9018895
2021.0,25.0,70.0,2,1.0,Contabilidad/Auditoría,,43.0,,Medio turno mañana,Empleado,48.0,Professional technician,"M - Professional, scientific and technical activities",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17326.19358
2021.0,25.0,70.0,2,1.0,Contabilidad/Auditoría,,43.0,,Medio turno tarde,Empleado,48.0,Professional technician,"M - Professional, scientific and technical activities",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17326.19358
2015.0,21.0,40.0,1,0.0,,,96.0,Male,,Empleado,11.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33702.825675500004
2020.0,25.0,35.0,1,1.0,,Inglés,33.0,,Completa,Empleado,77.0,Secondary education,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,36092.650175999996
2021.0,18.0,70.0,1,0.0,Administracion de Empresas,Inglés,24.0,,Completa,Empleado,167.0,University degree,"M - Professional, scientific and technical activities",1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53711.200098
2012.0,24.0,39.0,1,0.0,,,24.0,Female,,Empleado,12.0,,C -Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32025.794067
2017.0,20.0,30.0,1,1.0,,,24.0,,Indiferente,Empleado,19.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35679.664034999994
2016.0,24.0,45.0,1,1.0,,,24.0,,,Empleado,59.0,,L - Real estate activities,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,38740.442564
2015.0,22.0,40.0,1,0.0,,,42.0,,,Empleado,134.0,,P - Education,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,38781.333654
2013.0,18.0,40.0,1,1.0,,,83.0,Male,,Empleado,11.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24034.132166000003
2014.0,23.0,27.0,1,0.0,Computación - Sistemas - Programación,Inglés,35.0,,,Empleado,100.0,University degree,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,82610.80887896998
2021.0,27.0,49.0,1,0.0,Administracion de Empresas,Inglés,24.0,,Completa,Gerente,34.0,University degree,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75080.17218
2013.0,23.0,40.0,1,0.0,Administracion de Empresas,Inglés,33.0,,,Empleado,58.0,University degree,N - Administrative and support service activities,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65547.63318
2017.0,25.0,50.0,1,1.0,,Inglés,24.0,,Indiferente,Empleado,143.0,,C -Manufacturing,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,39644.071149999996
2021.0,30.0,50.0,1,1.0,Computación - Sistemas - Programación,Inglés,24.0,,Medio turno mañana,Empleado,154.0,Professional technician,C -Manufacturing,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,39041.6895336
2012.0,23.0,35.0,1,0.0,Diseño,,31.0,,,Empleado,234.0,Professional technician,Q - Human health and social work activities,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18385.1780755
2022.0,22.0,35.0,1,1.0,,,41.0,,Completa,Empleado,69.0,Secondary education,"M - Professional, scientific and technical activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32290.112466
2012.0,23.0,45.0,1,0.0,Administracion de Empresas,,41.0,Female,,Empleado,58.0,University degree,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30839.653546
2012.0,22.0,28.0,1,1.0,Contabilidad/Auditoría,,33.0,Female,,Empleado,38.0,Professional technician,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26797.286650432
2012.0,22.0,28.0,1,1.0,Contabilidad/Auditoría,,33.0,Female,,Empleado,35.0,Professional technician,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26797.286650432
2013.0,25.0,40.0,1,1.0,,,33.0,,,Empleado,12.0,,N - Administrative and support service activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40421.040461
2013.0,18.0,36.0,1,0.0,,,33.0,,,Empleado,20.0,,H - Transportation and storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28403.974378
2013.0,25.0,45.0,1,1.0,Administracion de Empresas,,33.0,,,Empleado,37.0,Professional technician,N - Administrative and support service activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31681.356036999998
2014.0,25.0,40.0,1,0.0,,,33.0,,,Empleado,17.0,,C -Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44149.001489999995
2014.0,22.0,30.0,1,1.0,Contabilidad/Auditoría,,33.0,Female,,Empleado,47.0,Professional technician,"M - Professional, scientific and technical activities",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43245.95373225
2014.0,21.0,35.0,1,0.0,,,33.0,Female,,Empleado,33.0,,"M - Professional, scientific and technical activities",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,30101.591925
2014.0,21.0,28.0,1,0.0,,,33.0,Female,,Empleado,17.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32108.364719999998
2014.0,21.0,35.0,1,1.0,,,33.0,Female,,Empleado,48.0,,"M - Professional, scientific and technical activities",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37125.2967075
2014.0,23.0,40.0,1,0.0,,,33.0,,,Empleado,28.0,,C -Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44149.001489999995
2017.0,25.0,45.0,1,1.0,,,33.0,Female,Medio turno mañana,Empleado,41.0,,"M - Professional, scientific and technical activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,23786.44269
2017.0,20.0,34.0,1,0.0,,,33.0,Female,Completa,Empleado,9.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36076.1047465
2019.0,20.0,30.0,1,1.0,,,33.0,Female,Completa,Empleado,25.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24587.99739
2019.0,25.0,,1,1.0,,,33.0,,Completa,Empleado,84.0,,N - Administrative and support service activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,40979.99565
2019.0,20.0,27.0,1,1.0,,,33.0,Female,Completa,Empleado,18.0,,K - Financial and insurance activities,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25953.997245000002
2019.0,22.0,45.0,1,0.0,,,33.0,Female,Completa,Empleado,6.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35515.996230000004
2019.0,30.0,45.0,1,1.0,,,33.0,Female,Completa,Empleado,29.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39613.995795
2020.0,25.0,45.0,1,1.0,Administracion de Empresas,Inglés,41.0,Female,Completa,Empleado,179.0,Professional technician,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,40448.65968
2020.0,18.0,70.0,1,0.0,Administracion de Empresas,,33.0,,Completa,Empleado,24.0,Professional technician,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28002.91824
2020.0,20.0,40.0,1,0.0,,,41.0,Female,Medio turno mañana,Empleado,16.0,Secondary education,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27380.631168
2021.0,25.0,50.0,1,0.0,,,41.0,Female,Completa,Empleado,25.0,Secondary education,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40427.785019999996
2022.0,30.0,55.0,1,1.0,,Español,42.0,Female,Completa,Empleado,68.0,Secondary education,N - Administrative and support service activities,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32819.458571999996
2022.0,30.0,55.0,1,1.0,,Español,41.0,Female,Completa,Empleado,39.0,Secondary education,N - Administrative and support service activities,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32819.458571999996
2022.0,25.0,45.0,1,0.0,,,41.0,Female,Completa,Empleado,85.0,Secondary education,"M - Professional, scientific and technical activities",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,34407.496889999995
2022.0,25.0,45.0,1,0.0,,,41.0,Female,Completa,Empleado,85.0,Secondary education,"M - Professional, scientific and technical activities",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,34407.496889999995
2023.0,30.0,48.0,1,0.0,Administracion de Empresas,Español,43.0,Female,Completa,Empleado,48.0,University degree,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44000.0
2023.0,30.0,45.0,1,0.0,Administracion de Empresas,Español,33.0,Female,Completa,Encargado,71.0,Professional technician,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45000.0
2012.0,23.0,33.0,1,0.0,Comercio Internacional,Inglés,33.0,Female,,Empleado,85.0,Professional technician,Q - Human health and social work activities,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42701.058756
2017.0,18.0,30.0,1,1.0,,,33.0,Female,Completa,Empleado,53.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33301.019766
2019.0,27.0,45.0,1,0.0,Administracion de Empresas,,52.0,Female,Completa,Empleado,46.0,Professional technician,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43028.9954325
2015.0,24.0,35.0,1,1.0,,,42.0,Female,,Empleado,49.0,,"R - Arts, entertainment and recreation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51708.444872
2015.0,25.0,35.0,1,0.0,,Inglés,33.0,Female,,Empleado,195.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59095.365568
2015.0,35.0,50.0,1,0.0,Adm y Gestion Publica,,33.0,Female,,Empleado,123.0,Professional technician,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59280.0385854
2016.0,35.0,50.0,1,0.0,Administracion de Empresas,,33.0,Female,,Empleado,130.0,Professional technician,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42311.30074816
2019.0,30.0,40.0,1,1.0,,,33.0,Female,Completa,Empleado,116.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,40979.995650000004
